name,age,email,mobile,address,visit_count,score,is_fake
David Smith,50,bmartinez@hotmail.com,408.721.3864x97156,"PSC 6899, Box 5022 APO AE 78200",3,82,0
Joshua Hughes,20,aaron51@francis.com,838.354.7644x495,"429 Morton Port Richardland, AR 13160",6,51,0
Wendy Snyder,43,martinezmichael@dawson.org,+1-054-652-3592,"9994 Burns View Lake Eddie, UT 52647",2,11,0
Mary Keller,31,vdecker@malone-kelly.com,223-080-9344x1570,"521 Allen Streets Apt. 678 Flemingbury, MA 73713",6,78,0
Tyler Sutton,51,jvaldez@pierce.info,709.777.0658,"528 Lester Circle Suite 975 South Brittneychester, AR 25420",1,39,0
Julie Mccoy,24,erica30@gmail.com,+1-346-755-9804x654,"646 Joshua Manors West Nicole, WA 89550",9,81,0
Steven Cunningham,20,johnoconnor@smith-carter.com,(424)925-5933x26393,"40973 Blake Springs New Seanfurt, TX 29589",3,60,0
Steven Bowman,22,carla49@yahoo.com,349.345.0033x60123,"0079 Eric Roads Apt. 877 Lake Stephen, ME 63972",6,87,0
Christopher Hall,29,adamsdominic@henson.com,730.555.3941,"050 Osborne Island Lake Tyronemouth, PA 05388",1,98,0
Regina Gibson,47,patrick38@jackson.com,834.105.2916,"169 Richard Lights Suite 706 New Melodyport, MS 79335",10,70,0
Melissa Mendez,60,jamesmaureen@hotmail.com,(122)193-2315x68939,USNS Pearson FPO AE 40005,9,28,0
Tami Bates,39,lewislindsay@gmail.com,3238431047,"6403 Angela Points Suite 441 New Audreyville, ME 43865",10,69,0
Karen Nelson,53,longsarah@hotmail.com,(184)398-0591x96518,"8088 Sloan Garden Stephanieland, ID 93642",8,75,0
Michael Moore,52,yrodgers@hotmail.com,+1-106-235-1443,"70061 Jason Extensions Apt. 241 Leetown, FL 89430",7,100,0
Erin Neal,43,jeremy17@lopez.com,637-466-2818,USCGC Humphrey FPO AE 52156,1,33,0
Mackenzie Adams,39,privera@castro.com,019.264.1352x19162,"PSC 8073, Box 1305 APO AE 44745",8,16,0
Patrick Smith,56,wesley71@hotmail.com,001-201-257-9191x24302,"839 Olivia Ridges North Jasonberg, TN 82229",6,31,0
Paul Young,30,kennethowens@gmail.com,(460)812-9809x44828,"155 Joseph Lights New Brianside, ND 13029",9,63,0
Albert Garcia,33,goodcrystal@gmail.com,049.324.1899x6646,"8851 John Forges Suite 132 Aprilburgh, NY 38937",4,79,0
Vanessa Owen,48,mscott@yahoo.com,451.946.5714x8740,"0778 Nancy Tunnel Port Joseph, NJ 91749",6,84,0
Heather Mccullough,22,gordonann@clark.com,0617213637,"7136 Cox Heights West Robert, MS 05243",3,41,0
Crystal Collins,18,qgoodwin@lee.com,(479)653-7063,"1816 Stephen Cove Rachelland, KS 14006",1,60,0
Jessica Johns,18,echan@yahoo.com,001-722-438-5656,"18055 Browning Course Apt. 984 West Susan, MT 12735",6,20,0
Abigail Flores,40,lopezhunter@ellis.net,(608)038-1415x518,"64226 Debbie Harbors Apt. 894 Amandaburgh, OR 88834",8,33,0
Kimberly Soto,50,thomassnyder@yahoo.com,001-604-818-0463x108,"880 Smith Neck Suite 623 Cathyfort, MI 36050",8,53,0
Shannon Rivas,24,ilewis@hotmail.com,(869)364-2385,"847 Andrew Rapid Sandovalstad, NV 31028",8,41,0
Randy Myers,37,anthony79@gmail.com,(942)968-8155x821,"628 Taylor Mews Coreyview, RI 76892",1,54,0
Nancy Payne,55,angela23@hotmail.com,280.626.1522,"7949 Perez Cape Lake Michael, NC 59433",9,33,0
Randall Flowers,48,nmayer@gmail.com,(539)108-6068x75627,"467 Rhodes Summit Paulmouth, NM 04150",9,10,0
Donna Smith,57,josecasey@hotmail.com,+1-170-450-8458x519,"401 Shawn Plains Wilsonville, OH 01316",7,88,0
123456,5,invalid@,(076)642-0549,asdf street,62,1,1
qwerty,-1,fake@bot.net,073-496-3915,123,73,0,1
test123,-1,spam@123,001-453-900-2138x461,asdf street,78,0,1
test123,-1,nobody@spam,143.951.2203,,83,4,1
test123,-1,nobody@spam,0955386958,unknown,92,5,1
!!!,200,user@@mail,517-975-4815x117,??,57,1,1
asdfasdf,200,user@@mail,+1-200-116-0830x843,,52,3,1
qwerty,5,nobody@spam,(064)639-9499x33595,123,54,4,1
123456,-1,spam@123,127.458.7161x05676,asdf street,84,4,1
123456,5,fake@bot.net,126-686-7696x8694,asdf street,84,0,1
123456,-1,nobody@spam,882-754-8015x19387,??,94,4,1
qwerty,200,invalid@,+1-156-349-1891x20777,asdf street,84,3,1
qwerty,-1,user@@mail,147.163.3881x0904,unknown,77,4,1
test123,999,fake@bot.net,(049)519-7956x0880,unknown,76,0,1
asdfasdf,5,invalid@,2941338035,??,83,3,1
test123,999,user@@mail,+1-899-350-4591x03250,,95,0,1
asdfasdf,200,fake@bot.net,973-304-4855x51318,unknown,61,5,1
!!!,5,invalid@,629-909-3049x938,unknown,56,3,1
123456,999,fake@bot.net,+1-531-550-6207x2439,??,71,1,1
test123,-1,invalid@,+1-389-942-2768x4855,,73,3,1
asdfasdf,-1,spam@123,001-534-462-5675x326,123,71,3,1
asdfasdf,5,fake@bot.net,(712)944-8056x622,123,52,3,1
asdfasdf,-1,user@@mail,+1-503-959-4027x7148,??,68,5,1
asdfasdf,5,user@@mail,2902146854,??,82,3,1
123456,5,spam@123,001-925-746-0458x064,123,81,5,1
qwerty,-1,spam@123,001-395-068-9144,??,61,4,1
asdfasdf,-1,invalid@,152.465.0559x08799,unknown,53,3,1
qwerty,-1,spam@123,635-474-7181,??,74,2,1
123456,999,fake@bot.net,(892)412-6765x34062,asdf street,85,3,1
test123,200,invalid@,(442)178-1263,123,94,4,1
qwerty,200,spam@123,4344344424,??,62,0,1
!!!,5,spam@123,+1-615-441-7079x0224,asdf street,62,4,1
test123,999,fake@bot.net,423.690.2289x369,,78,4,1
asdfasdf,5,user@@mail,9195119955,,95,3,1
!!!,-1,spam@123,+1-731-921-6225x528,unknown,81,0,1
asdfasdf,999,invalid@,952.870.9073,asdf street,100,1,1
test123,200,user@@mail,(494)895-4381x657,??,86,0,1
123456,999,nobody@spam,689.832.5961x213,123,84,1,1
!!!,-1,spam@123,+1-976-182-2958x581,??,69,5,1
qwerty,-1,fake@bot.net,682-372-6854,??,97,0,1
test123,200,fake@bot.net,001-366-130-1809x80417,asdf street,66,5,1
!!!,200,user@@mail,692.245.7393x337,asdf street,95,3,1
!!!,5,invalid@,(656)257-4200x7392,unknown,61,3,1
qwerty,200,nobody@spam,001-821-623-8978x65092,,90,3,1
qwerty,999,invalid@,321-789-7758x8516,,82,2,1
test123,-1,spam@123,+1-562-906-3484x61731,unknown,92,3,1
asdfasdf,999,user@@mail,823-859-8802x5426,unknown,84,3,1
asdfasdf,999,fake@bot.net,+1-332-775-4768x10588,unknown,57,2,1
qwerty,999,nobody@spam,0174520861,123,66,2,1
qwerty,5,user@@mail,001-651-723-1170,,54,1,1
test123,5,user@@mail,+1-848-682-0012x46707,asdf street,92,1,1
test123,-1,user@@mail,001-788-538-5386x507,,89,5,1
test123,-1,user@@mail,1194451970,123,78,2,1
123456,200,fake@bot.net,001-186-739-0404x83712,asdf street,69,4,1
!!!,999,spam@123,717-555-8884x75014,??,77,0,1
asdfasdf,999,user@@mail,079-033-9342x603,,91,3,1
asdfasdf,-1,fake@bot.net,1653808305,,99,5,1
123456,-1,spam@123,+1-322-281-0363x663,asdf street,69,3,1
123456,5,spam@123,+1-708-231-8899,??,56,3,1
asdfasdf,999,fake@bot.net,(318)142-0434,??,62,4,1
!!!,999,invalid@,001-081-547-2260x2909,,94,4,1
123456,999,fake@bot.net,001-258-225-9623x62530,asdf street,96,0,1
!!!,-1,spam@123,+1-058-105-8335x62819,??,88,0,1
asdfasdf,200,invalid@,(489)955-9136,123,68,2,1
asdfasdf,-1,fake@bot.net,001-994-596-0472,??,97,4,1
!!!,200,fake@bot.net,098-850-9221,,98,0,1
test123,5,user@@mail,+1-527-208-6867x3873,asdf street,91,0,1
test123,999,invalid@,275-933-3958,??,71,5,1
qwerty,999,invalid@,862.045.7751x63763,123,60,3,1
123456,5,fake@bot.net,157.373.7885,unknown,53,2,1
qwerty,-1,nobody@spam,233.372.1044x1496,asdf street,87,4,1
!!!,5,user@@mail,001-052-193-0086x4600,,95,4,1
123456,-1,spam@123,862.771.4479,123,72,5,1
123456,-1,invalid@,(087)674-9248x57010,,62,3,1
asdfasdf,5,invalid@,260.538.7617x166,,67,2,1
!!!,-1,nobody@spam,238-570-1900x7642,123,86,2,1
asdfasdf,200,spam@123,490.353.3476,,71,3,1
qwerty,200,spam@123,774.718.5131,??,56,2,1
asdfasdf,999,spam@123,547-468-7276,123,62,2,1
asdfasdf,5,fake@bot.net,263-419-1197x5660,asdf street,72,2,1
asdfasdf,-1,spam@123,793-972-1786,,68,5,1
123456,-1,spam@123,001-927-893-7205,unknown,74,0,1
qwerty,5,fake@bot.net,346-393-8561x7977,??,53,4,1
!!!,-1,fake@bot.net,001-120-742-2297x4243,??,90,4,1
!!!,999,user@@mail,(850)844-4016x52532,,73,0,1
!!!,999,nobody@spam,(317)870-1318x83460,123,66,1,1
123456,-1,spam@123,+1-169-461-4639x460,asdf street,91,2,1
asdfasdf,5,fake@bot.net,001-128-852-5248x171,asdf street,71,2,1
qwerty,200,fake@bot.net,875-668-8339,??,58,5,1
!!!,200,invalid@,001-798-544-1471x9010,??,58,1,1
!!!,200,fake@bot.net,706.273.7565x6533,,99,0,1
123456,5,user@@mail,299.095.5143x1505,unknown,90,0,1
qwerty,999,invalid@,(503)395-7860,,62,2,1
!!!,200,user@@mail,683-393-7824,asdf street,50,2,1
qwerty,999,invalid@,(811)603-7287x537,123,72,3,1
qwerty,5,nobody@spam,480-154-7234x271,,64,5,1
123456,200,nobody@spam,001-330-486-5537,,83,0,1
test123,5,invalid@,001-424-533-5473x8929,,83,1,1
asdfasdf,5,fake@bot.net,001-672-872-2906x13771,unknown,95,0,1
123456,5,user@@mail,+1-709-688-0148x8302,123,93,2,1
